<<<<<<< HEAD
Date,Open,High,Low,Close,Adj Close,Volume,MA5,MA20,MA60,MA120,EMA5,EMA20,EMA60,EMA120,BOL_AVG,BOL_H1,BOL_L1,BOL_H2,BOL_L2,RSI,MACD,MACD_SIGNAL,OBV
2013-09-30,17.04464340209961,17.2021427154541,16.943214416503906,17.02678680419922,14.860148429870605,260156400,,,,,14.860148429870605,14.860148429870605,14.860148429870605,14.860148429870605,,,,,,,,,260156400
2013-10-01,17.087499618530273,17.46928596496582,17.084999084472656,17.427143096923828,15.20955753326416,353883600,,,,,14.976618131001791,14.893425487336657,14.871604466047442,14.865923786951493,,,,,,,,,614040000
2013-10-02,17.343929290771484,17.564285278320312,17.27678680419922,17.484285354614258,15.259430885314941,289184000,,,,,15.070889049106174,14.92828314428697,14.884320086351295,14.872428036511222,,,,,,,,,903224000
2013-10-03,17.518213272094727,17.58392906188965,17.169286727905273,17.2646427154541,15.067736625671387,322753200,,,,,15.06983824129458,14.941564428228343,14.890333743378182,14.875656277654365,,,,,,,,,580470800
2013-10-04,17.28071403503418,17.30714225769043,17.092857360839844,17.25107192993164,15.055889129638672,258868400,15.090552520751952,,,,15.065188537409277,14.952452495029327,14.895761788829345,14.878635333059064,,,,,,,,,321602400
2013-10-07,17.37714385986328,17.594642639160156,17.33392906188965,17.41964340209961,15.203008651733398,312292400,15.159124565124511,,,,15.111128575517318,14.976314986144,14.905835456465544,14.883996875516493,,,,,,,,,633894800
2013-10-08,17.49785614013672,17.522857666015625,17.16214370727539,17.176429748535156,14.99074935913086,290917200,15.115362930297852,,,,15.071002170055166,14.977689688333225,14.908619518848012,14.885761379377888,,,,,,,,,342977600
2013-10-09,17.308570861816406,17.421070098876953,17.08142852783203,17.37821388244629,15.166853904724121,301725200,15.096847534179688,,,,15.102952748278152,14.9957053279895,14.917086220024276,14.890407536821629,,,,,,,,,644702800
2013-10-10,17.547143936157227,17.584999084472656,17.394285202026367,17.48714256286621,15.261921882629395,278602800,15.135684585571289,,,,15.155942459728568,15.021059285574252,14.928392307322804,14.896548269810188,,,,,,,,,923305600
2013-10-11,17.392499923706055,17.637142181396484,17.3271427154541,17.600357055664062,15.360733032226562,267738800,15.196653366088867,,,,15.224205983894567,15.053409166207805,14.942567413057354,14.90422074522203,,,,,,,,,1191044400
